iter	Passed	Remaining
228	435	1467
229	449	1505
230	451	1502
231	455	1507
232	457	1505
233	458	1501
234	460	1498
235	462	1495
236	464	1494
237	466	1492
238	469	1495
239	471	1493
240	475	1497
241	477	1496
242	479	1493
243	480	1490
244	482	1486
245	486	1491
246	488	1490
247	490	1486
248	491	1483
249	493	1479
250	494	1475
251	495	1471
252	497	1468
253	498	1464
254	502	1466
255	504	1464
256	505	1461
257	506	1457
258	508	1454
259	509	1451
260	511	1447
261	512	1443
262	513	1440
263	515	1436
264	519	1440
265	521	1437
266	522	1434
267	523	1430
268	525	1426
269	526	1423
270	528	1420
271	529	1417
272	530	1414
273	534	1416
274	536	1414
275	539	1416
276	542	1415
277	544	1413
278	545	1410
279	547	1408
280	550	1409
281	552	1405
282	553	1402
283	554	1399
284	557	1397
285	558	1394
286	560	1391
287	561	1387
288	564	1389
289	567	1388
290	568	1385
291	569	1381
292	572	1382
293	574	1379
294	576	1377
295	582	1386
296	588	1394
297	593	1397
298	604	1417
299	608	1420
300	615	1429
301	620	1433
302	622	1433
303	627	1437
304	640	1458
305	649	1472
306	652	1472
307	656	1475
308	665	1487
309	672	1495
310	674	1494
311	687	1515
312	690	1515
313	695	1519
314	699	1520
315	701	1519
316	708	1526
317	715	1534
318	728	1554
319	734	1561
320	741	1568
321	744	1567
322	746	1564
323	750	1566
324	758	1574
325	761	1574
326	767	1579
327	777	1593
328	782	1595
329	789	1602
330	791	1600
331	794	1598
332	796	1595
333	798	1592
334	804	1596
335	807	1596
336	810	1594
337	812	1591
338	820	1599
339	824	1599
340	825	1595
341	826	1590
342	828	1586
343	829	1582
344	831	1579
345	835	1578
346	836	1574
347	838	1570
348	839	1566
349	841	1562
350	842	1558
351	844	1554
352	846	1551
353	848	1548
354	850	1545
355	852	1541
356	853	1537
357	855	1533
358	856	1529
359	857	1525
360	862	1527
361	867	1528
362	870	1527
363	873	1525
364	874	1522
365	876	1518
366	877	1514
367	880	1512
368	883	1510
369	884	1506
370	886	1502
371	887	1498
372	889	1494
373	890	1490
374	892	1486
375	893	1482
376	894	1478
377	898	1478
378	900	1475
379	901	1471
380	903	1467
381	904	1463
382	906	1459
383	907	1455
384	908	1452
385	910	1448
386	915	1449
387	917	1447
388	921	1447
389	923	1444
390	924	1440
391	926	1436
392	929	1435
393	931	1432
394	933	1429
395	936	1428
396	938	1425
397	939	1421
398	941	1417
399	946	1419
400	948	1416
401	949	1413
402	952	1410
403	953	1406
404	955	1403
405	956	1399
406	962	1402
407	964	1399
408	965	1395
409	967	1391
410	968	1388
411	970	1384
412	971	1380
413	972	1377
414	976	1375
415	978	1373
416	979	1369
417	981	1366
418	982	1362
419	984	1359
420	985	1355
421	987	1352
422	988	1348
423	990	1345
424	993	1344
425	994	1340
426	996	1336
427	997	1333
428	999	1329
429	1000	1326
430	1002	1323
431	1003	1319
432	1007	1318
433	1009	1316
434	1010	1312
435	1012	1309
436	1013	1306
437	1015	1302
438	1016	1299
439	1017	1295
440	1019	1292
441	1020	1288
442	1024	1288
443	1026	1284
444	1027	1281
445	1028	1278
446	1030	1275
447	1032	1271
448	1033	1268
449	1034	1264
450	1038	1264
451	1040	1261
452	1041	1257
453	1042	1254
454	1044	1250
455	1045	1247
456	1047	1244
457	1048	1241
458	1050	1238
459	1053	1237
460	1055	1234
461	1057	1231
462	1058	1227
463	1060	1224
464	1061	1221
465	1063	1218
466	1065	1216
467	1069	1215
468	1071	1212
469	1072	1209
470	1073	1206
471	1075	1202
472	1077	1200
473	1078	1196
474	1079	1193
475	1081	1190
476	1083	1188
477	1086	1186
478	1087	1183
479	1089	1180
480	1090	1176
481	1094	1176
482	1096	1174
483	1099	1172
484	1101	1169
485	1103	1167
486	1108	1167
487	1109	1164
488	1111	1161
489	1112	1158
490	1115	1156
491	1118	1154
492	1119	1151
493	1122	1149
494	1124	1146
495	1125	1143
496	1127	1140
497	1128	1137
498	1130	1134
499	1133	1133
500	1135	1131
501	1139	1130
502	1141	1127
503	1142	1124
504	1144	1121
505	1147	1120
506	1150	1119
507	1153	1116
508	1154	1113
509	1155	1110
510	1157	1107
511	1158	1104
512	1160	1101
513	1163	1100
514	1165	1098
515	1167	1095
516	1169	1092
517	1172	1091
518	1175	1089
519	1176	1086
520	1183	1088
521	1185	1085
522	1187	1082
523	1188	1079
524	1190	1076
525	1191	1073
526	1192	1070
527	1197	1070
528	1199	1067
529	1201	1065
530	1203	1062
531	1205	1060
532	1211	1061
533	1213	1058
534	1217	1058
535	1219	1055
536	1221	1052
537	1222	1049
538	1226	1048
539	1227	1046
540	1229	1042
541	1230	1040
542	1232	1037
543	1234	1034
544	1236	1032
545	1238	1029
546	1242	1028
547	1244	1026
548	1248	1025
549	1249	1022
550	1251	1019
551	1252	1016
552	1254	1013
553	1260	1014
554	1261	1011
555	1263	1009
556	1266	1006
557	1267	1004
558	1269	1001
559	1272	999
560	1275	997
561	1277	995
562	1282	995
563	1285	993
564	1295	997
565	1300	997
566	1308	999
567	1310	996
568	1312	994
569	1314	991
570	1317	989
571	1323	990
572	1331	992
573	1343	997
574	1346	995
575	1349	993
576	1356	994
577	1359	992
578	1361	989
579	1363	987
580	1365	984
581	1371	985
582	1373	982
583	1376	980
584	1378	977
585	1381	975
586	1387	976
587	1390	973
588	1392	971
589	1394	969
590	1397	967
591	1403	967
592	1406	965
593	1408	962
594	1410	960
595	1413	957
596	1421	959
597	1423	957
598	1426	954
599	1429	953
600	1439	955
601	1443	954
602	1454	957
603	1456	954
604	1458	951
605	1459	949
606	1461	946
607	1464	944
608	1466	941
609	1468	938
610	1472	937
611	1474	934
612	1476	931
613	1477	928
614	1481	927
615	1483	924
616	1485	921
617	1486	918
618	1488	916
619	1489	913
620	1491	910
621	1492	907
622	1496	905
623	1499	903
624	1500	900
625	1502	897
626	1504	894
627	1505	891
628	1507	888
629	1508	886
630	1513	884
631	1515	882
632	1516	879
633	1518	876
634	1520	873
635	1521	870
636	1523	868
637	1524	865
638	1528	863
639	1530	860
640	1531	857
641	1534	855
642	1535	852
643	1536	849
644	1538	846
645	1539	843
646	1543	842
647	1545	839
648	1547	836
649	1548	833
650	1549	830
651	1551	828
652	1552	825
653	1554	822
654	1555	819
655	1558	817
656	1561	815
657	1563	812
658	1565	810
659	1566	807
660	1568	804
661	1569	801
662	1571	798
663	1574	796
664	1577	794
665	1579	791
666	1580	789
667	1582	786
668	1583	783
669	1585	780
670	1586	777
671	1588	775
672	1592	773
673	1593	770
674	1595	768
675	1596	765
676	1597	762
677	1599	759
678	1601	756
679	1602	754
680	1603	751
681	1609	750
682	1611	747
683	1612	745
684	1614	742
685	1615	739
686	1616	736
687	1618	734
688	1621	732
689	1623	729
690	1625	726
691	1626	724
692	1628	721
693	1629	718
694	1630	715
695	1632	712
696	1633	710
697	1635	707
698	1638	705
699	1640	703
700	1642	700
701	1643	697
702	1645	694
703	1646	692
704	1647	689
705	1649	686
706	1650	684
707	1656	683
708	1657	680
709	1659	677
710	1660	675
711	1662	672
712	1663	669
713	1665	666
714	1666	664
715	1669	662
716	1672	659
717	1673	657
718	1675	654
719	1676	651
720	1677	649
721	1679	646
722	1680	643
723	1682	641
724	1685	639
725	1687	636
726	1689	634
727	1690	631
728	1691	628
729	1693	626
730	1694	623
731	1697	621
732	1701	619
733	1703	617
734	1705	614
735	1706	612
736	1707	609
737	1709	606
738	1711	604
739	1713	602
740	1714	599
741	1717	597
742	1719	594
743	1720	592
744	1722	589
745	1723	586
746	1725	584
747	1726	581
748	1728	579
749	1729	576
750	1733	574
751	1735	572
752	1736	569
753	1738	567
754	1739	564
755	1741	562
756	1742	559
757	1744	556
758	1745	554
759	1749	552
760	1751	550
761	1753	547
762	1757	545
763	1759	543
764	1760	540
765	1764	538
766	1766	536
767	1767	534
768	1769	531
769	1770	528
770	1772	526
771	1773	523
772	1775	521
773	1776	518
774	1781	517
775	1783	514
776	1785	512
777	1786	509
778	1788	507
779	1789	504
780	1792	502
781	1795	500
782	1798	498
783	1800	496
784	1805	494
785	1815	494
786	1817	491
787	1819	489
788	1821	487
789	1822	484
790	1824	482
791	1830	480
792	1832	478
793	1833	475
794	1835	473
795	1836	470
796	1838	468
797	1839	465
798	1841	463
799	1845	461
800	1847	459
801	1850	456
802	1853	454
803	1854	452
804	1856	449
805	1860	447
806	1862	445
807	1863	442
808	1865	440
809	1866	437
810	1868	435
811	1870	432
812	1871	430
813	1872	427
814	1877	426
815	1878	423
816	1880	421
817	1881	418
818	1883	416
819	1885	413
820	1886	411
821	1888	408
822	1892	407
823	1894	404
824	1896	402
825	1897	399
826	1899	397
827	1900	394
828	1902	392
829	1903	389
830	1907	387
831	1909	385
832	1910	383
833	1912	380
834	1914	378
835	1915	375
836	1916	373
837	1918	370
838	1919	368
839	1923	366
840	1925	364
841	1926	361
842	1928	359
843	1929	356
844	1931	354
845	1932	351
846	1934	349
847	1935	346
848	1938	344
849	1942	342
850	1943	340
851	1945	337
852	1946	335
853	1948	333
854	1949	330
855	1950	328
856	1953	325
857	1956	323
858	1958	321
859	1959	319
860	1961	316
861	1962	314
862	1964	311
863	1965	309
864	1966	306
865	1970	304
866	1972	302
867	1974	300
868	1975	297
869	1976	295
870	1978	293
871	1980	290
872	1981	288
873	1982	285
874	1986	283
875	1988	281
876	1990	279
877	1991	276
878	1992	274
879	1994	271
880	1995	269
881	1997	267
882	1998	264
883	2001	262
884	2003	260
885	2005	258
886	2006	255
887	2008	253
888	2009	250
889	2011	248
890	2012	246
891	2013	243
892	2015	241
893	2018	239
894	2020	237
895	2021	234
896	2023	232
897	2024	229
898	2026	227
899	2027	225
900	2029	222
901	2030	220
902	2033	218
903	2035	216
904	2037	213
905	2038	211
906	2039	209
907	2041	206
908	2043	204
909	2046	202
910	2050	200
911	2051	197
912	2053	195
913	2054	193
914	2056	191
915	2057	188
916	2058	186
917	2060	184
918	2061	181
919	2065	179
920	2067	177
921	2068	175
922	2070	172
923	2071	170
924	2073	168
925	2074	165
926	2075	163
927	2077	161
928	2079	158
929	2081	156
930	2083	154
931	2085	152
932	2086	149
933	2088	147
934	2089	145
935	2091	142
936	2092	140
937	2093	138
938	2097	136
939	2099	134
940	2101	131
941	2103	129
942	2105	127
943	2106	124
944	2107	122
945	2109	120
946	2112	118
947	2115	116
948	2121	114
949	2123	111
950	2127	109
951	2129	107
952	2130	105
953	2132	102
954	2133	100
955	2135	98
956	2136	95
957	2137	93
958	2141	91
959	2143	89
960	2144	87
961	2146	84
962	2147	82
963	2149	80
964	2150	78
965	2152	75
966	2153	73
967	2155	71
968	2158	69
969	2160	66
970	2163	64
971	2166	62
972	2167	60
973	2168	57
974	2170	55
975	2174	53
976	2175	51
977	2177	48
978	2178	46
979	2180	44
980	2181	42
981	2183	40
982	2184	37
983	2190	35
984	2192	33
985	2194	31
986	2195	28
987	2197	26
988	2198	24
989	2200	22
990	2201	19
991	2206	17
992	2208	15
993	2209	13
994	2211	11
995	2212	8
996	2214	6
997	2215	4
998	2217	2
999	2220	0
