iter	RMSE
504	26405.62771
505	26396.88326
506	26385.85557
507	26379.97955
508	26375.4271
509	26366.28993
510	26359.39245
511	26349.44048
512	26335.24177
513	26322.31748
514	26314.56696
515	26304.44024
516	26298.82969
517	26287.2866
518	26284.91185
519	26272.71318
520	26255.57139
521	26247.64929
522	26237.68815
523	26228.02173
524	26217.33626
525	26201.3867
526	26189.77724
527	26185.41187
528	26176.08992
529	26167.84778
530	26154.47444
531	26149.23367
532	26139.13201
533	26135.4878
534	26130.99169
535	26119.42022
536	26114.12666
537	26101.3951
538	26091.30415
539	26081.4746
540	26063.91051
541	26059.75452
542	26057.25701
543	26047.76675
544	26035.5567
545	26027.38797
546	26022.49352
547	26017.32305
548	26010.43733
549	26008.15035
550	26005.92
551	25998.87957
552	25986.7956
553	25973.0216
554	25970.17063
555	25967.99129
556	25962.92002
557	25956.90837
558	25942.05335
559	25937.10218
560	25921.9959
561	25908.60439
562	25899.10713
563	25895.25226
564	25893.11748
565	25884.27032
566	25876.62475
567	25874.54145
568	25867.96264
569	25865.23971
570	25855.87001
571	25848.63458
572	25843.19749
573	25830.99355
574	25827.26646
575	25813.92175
576	25804.35978
577	25797.27964
578	25790.59824
579	25786.39176
580	25781.6352
581	25772.02893
582	25768.06963
583	25759.19839
584	25757.1422
585	25745.32848
586	25734.05754
587	25718.08738
588	25708.50906
589	25702.32344
590	25697.27915
591	25685.26803
592	25672.93231
593	25661.4476
594	25656.745
595	25647.88116
596	25634.41098
597	25620.43353
598	25618.41438
599	25608.08542
600	25605.94362
601	25599.26718
602	25593.04783
603	25584.48447
604	25582.5061
605	25577.94755
606	25567.63212
607	25558.33685
608	25554.29694
609	25551.10597
610	25544.8589
611	25534.12836
612	25530.10762
613	25521.70448
614	25512.6954
615	25506.56549
616	25498.59223
617	25488.7228
618	25480.93994
619	25469.48714
620	25467.29315
621	25460.23079
622	25445.62903
623	25441.92941
624	25435.46634
625	25433.54557
626	25425.04128
627	25412.67477
628	25408.17362
629	25394.73881
630	25390.45637
631	25383.86432
632	25378.40644
633	25369.62463
634	25357.35435
635	25343.70732
636	25341.50438
637	25332.9833
638	25320.20264
639	25312.20916
640	25304.65989
641	25299.75921
642	25287.08134
643	25279.14994
644	25273.43889
645	25260.97871
646	25249.87741
647	25242.98282
648	25237.52114
649	25235.63646
650	25226.12876
651	25215.60966
652	25209.38806
653	25201.49409
654	25199.64531
655	25194.7225
656	25188.79443
657	25182.26056
658	25174.00872
659	25168.90584
660	25163.57175
661	25160.57145
662	25156.38277
663	25151.53975
664	25149.72441
665	25139.98626
666	25134.10576
667	25131.7801
668	25117.13529
669	25111.42495
670	25109.20368
671	25094.09633
672	25088.04656
673	25078.45352
674	25069.44798
675	25061.27506
676	25053.37992
677	25045.60945
678	25037.37838
679	25035.60829
680	25022.54371
681	25014.78529
682	25010.00357
683	25002.34827
684	24995.59576
685	24986.03193
686	24977.47621
687	24972.17638
688	24964.75644
689	24956.01623
